UID,Counter,Upload_Time,Message
21,0,2019-06-01 10:07:36,1110010000000001000011110000001110101011000001000010101000101100010010110000101000001111000000000000000000000000
23,0,2019-06-01 10:08:36,1110010000000001000011110000001110000010000001000011001000010110001000110001011100001111000000000000000000000000
22,0,2019-06-01 10:08:38,1110010000000001000011110000001101011110000001000000110000101001000111110000101000001111000000000000000000000000
21,0,2019-06-01 10:09:11,1110010000000001000011110000001110110010000001000011001000101111010001110000101000001111000000000000000000000000
22,0,2019-06-01 10:10:26,1110010000000001000011110000001101100101000001000000110100110001000111010000101000001111000000000000000000000000
23,0,2019-06-01 10:10:48,1110010000000001000011110000001101101100000001000001111100011000000110110001101000001111000000000000000000000000
22,0,2019-06-01 10:12:08,1110010000000001000011110000001101100010000001000000110100101101000111100000101000001111000000000000000000000000
21,0,2019-06-01 10:12:24,1110010000000001000011110000001110110011000001000010111100101110010011000000101000001111000000000000000000000000
23,0,2019-06-01 10:12:34,1110010000000001000011110000001101111001000001000010100100011000001000000001100000001111000000000000000000000000
22,0,2019-06-01 10:13:45,1110010000000001000011110000001101100100000001000000110000101111000111110000101000001111000000000000000000000000
23,0,2019-06-01 10:14:37,1110010000000001000011110000001110001000000001000011000100011001001000110001101100001111000000000000000000000000
21,0,2019-06-01 10:15:23,1110010000000001000011110000001111001011000001000100101100110110010000000000101000001111000000000000000000000000
22,0,2019-06-01 10:15:26,1110010000000001000011110000001101100110000001000000110000101111001000010000101000001111000000000000000000000000
23,0,2019-06-01 10:16:49,1110010000000001000011110000001101110101000001000010001000011001001001000001011000001111000000000000000000000000
22,0,2019-06-01 10:17:07,1110010000000001000011110000001101100100000001000000110000101100001000100000101000001111000000000000000000000000
21,0,2019-06-01 10:18:45,1110010000000001000011110000001110110100000001000100010000110100001100100000101000001111000000000000000000000000
22,0,2019-06-01 10:18:48,1110010000000001000011110000001101100110000001000000110000101111001000010000101000001111000000000000000000000000
23,0,2019-06-01 10:18:51,1110010000000001000011110000001101101001000001000010000000011000000111000001010100001111000000000000000000000000
22,0,2019-06-01 10:20:30,1110010000000001000011110000001101100011000001000000110100101011001000010000101000001111000000000000000000000000
23,0,2019-06-01 10:20:37,1110010000000001000011110000001101110111000001000010001100011011000111100001101100001111000000000000000000000000
21,0,2019-06-01 10:21:46,1110010000000001000011110000001110101011000001000100000100101111001100010000101000001111000000000000000000000000
22,0,2019-06-01 10:22:08,1110010000000001000011110000001101011100000001000000110000100110001000000000101000001111000000000000000000000000
23,0,2019-06-01 10:22:30,1110010000000001000011110000001110001000000001000011000000011001001000110001110000001111000000000000000000000000
22,0,2019-06-01 10:23:41,1110010000000001000011110000001101100000000001000000111000101010000111100000101000001111000000000000000000000000
21,0,2019-06-01 10:24:37,1110010000000001000011110000001110101000000001000011111000101111001100010000101000001111000000000000000000000000
23,0,2019-06-01 10:24:45,1110010000000001000011110000001101111101000001000010110000011010001000010001011000001111000000000000000000000000
22,0,2019-06-01 10:25:16,1110010000000001000011110000001101011010000001000000110000100111000111010000101000001111000000000000000000000000
22,0,2019-06-01 10:26:46,1110010000000001000011110000001101011011000001000000110000101001000111000000101000001111000000000000000000000000
23,0,2019-06-01 10:26:56,1110010000000001000011110000001101110111000001000010100000011000000111100001100100001111000000000000000000000000
21,0,2019-06-01 10:27:25,1110010000000001000011110000001110011000000001000011000100101110001011110000101000001111000000000000000000000000
22,0,2019-06-01 10:28:17,1110010000000001000011110000001101011111000001000000110000101011000111100000101000001111000000000000000000000000
23,0,2019-06-01 10:28:52,1110010000000001000011110000001101111000000001000010010100011011000111010001101100001111000000000000000000000000
22,0,2019-06-01 10:29:52,1110010000000001000011110000001101011110000001000000110000101011000111010000101000001111000000000000000000000000
